,Prices_5_3,Strategy_Returns_5_3,F_t_5_3
0,527.4,-0.04,0.0
1,495.96,-16.36,1.0
2,479.64,5.5700006,1.0
3,501.57,2.1700006,1.0
4,498.17,-0.22999957,1.0
5,495.77,-8.08,1.0
6,487.92,-4.6999993,1.0
7,491.3,4.4600005,1.0
8,500.46,-34.55,1.0
9,461.45,-37.399998,1.0
10,458.6,-59.609997,1.0
11,436.39,-55.709995,1.0
12,440.29,-48.789997,1.0
13,447.21,-48.359997,1.0
14,447.64,-38.239998,1.0
15,457.76,-46.619995,1.0
16,449.38,-58.239998,1.0
17,437.76,-59.6,1.0
18,436.4,-62.519997,1.0
19,433.48,-67.03999,1.0
20,428.96,-57.179996,1.0
21,438.82,-55.829998,1.0
22,440.17,-46.539997,1.0
23,449.46,-41.569996,1.0
24,454.43,-57.109997,1.0
25,438.89,-54.539997,1.0
26,441.46,-55.329998,1.0
27,440.67,-52.03,1.0
28,443.97,-48.749996,1.0
29,447.25,-47.94,1.0
30,448.06,-47.1,1.0
31,448.9,-49.739998,1.0
32,446.26,-49.819996,1.0
33,446.18,-10.279997,1.0
34,485.72,-4.2299967,1.0
35,491.77,28.580006,1.0
36,524.58,24.220005,1.0
37,520.22,29.140005,1.0
38,525.14,75.590004,1.0
39,571.59,87.420006,1.0
40,583.42,75.240005,1.0
41,571.24,81.060005,1.0
42,577.06,72.18001,1.0
43,568.18,119.33001,1.0
44,615.33,127.68001,1.0
45,623.68,134.23001,1.0
46,630.23,164.62001,1.0
47,660.62,171.6,1.0
48,667.6,145.61,1.0
49,641.61,163.26001,1.0
50,659.26,157.70001,1.0
51,653.7,158.97,1.0
52,654.97,160.14,1.0
53,656.14,153.16,1.0
54,649.16,157.15001,1.0
55,653.15,137.02,1.0
56,633.02,90.950005,1.0
57,586.95,104.16001,1.0
58,600.16,81.36001,1.0
59,577.36,96.94001,1.0
60,592.94,96.19001,1.0
61,592.19,114.86001,1.0
62,610.86,111.96001,1.0
63,607.96,102.07001,1.0
64,598.07,98.15001,1.0
65,594.15,98.990005,1.0
66,594.99,106.27001,1.0
67,602.27,97.98001,1.0
68,593.98,86.36001,1.0
69,582.36,70.34001,1.0
70,566.34,85.14001,1.0
71,581.14,101.26001,1.0
72,597.26,100.55001,1.0
73,596.55,106.72001,1.0
74,602.72,143.80002,1.0
75,639.8,144.81001,1.0
76,640.81,154.88,1.0
77,650.88,149.16,1.0
78,645.16,134.69002,1.0
79,630.69,135.46,1.0
80,631.46,139.81001,1.0
81,635.81,128.09001,1.0
82,624.09,128.82,1.0
83,624.82,128.51001,1.0
84,624.51,120.76001,1.0
85,616.76,136.00002,1.0
86,632.0,137.71,1.0
87,633.71,130.50002,1.0
88,626.5,123.32001,1.0
89,619.32,125.59001,1.0
90,621.59,120.80001,1.0
91,616.8,127.09001,1.0
92,623.09,132.78001,1.0
93,628.78,132.52,1.0
94,628.52,127.90001,1.0
95,623.9,126.21001,1.0
96,622.21,125.55001,1.0
97,621.55,123.41001,1.0
98,619.41,105.73001,1.0
99,601.73,105.09001,1.0
100,601.09,99.81001,1.0
101,595.81,97.850006,1.0
102,593.85,89.69001,1.0
103,585.69,88.72001,1.0
104,584.72,71.29001,1.0
105,567.29,90.23001,1.0
106,586.23,98.920006,1.0
107,594.92,93.33001,1.0
108,589.33,90.670006,1.0
109,586.67,92.78001,1.0
110,588.78,89.44001,1.0
111,585.44,88.65001,1.0
112,584.65,92.87001,1.0
113,588.87,96.58001,1.0
114,592.58,93.37001,1.0
115,589.37,95.060005,1.0
116,591.06,80.37001,1.0
117,576.37,73.64001,1.0
118,569.64,50.66001,1.0
119,546.66,9.970011,1.0
120,505.97,1.0100112,1.0
121,497.01,23.710012,1.0
122,519.71,-4.199988,1.0
123,491.8,-34.53999,1.0
124,461.46,-10.759988,1.0
125,485.24,15.980012,1.0
126,511.98,21.240013,1.0
127,517.24,18.040012,1.0
128,514.04,2.0800126,1.0
129,498.08,12.290012,1.0
130,508.29,6.5000124,1.0
131,502.5,15.570012,1.0
132,511.57,15.150012,1.0
133,511.15,11.820012,1.0
134,507.82,12.520012,1.0
135,508.52,8.250012,1.0
136,504.25,-18.239988,1.0
137,477.76,-21.119987,1.0
138,474.88,-18.569988,1.0
139,477.43,-18.409988,1.0
140,477.59,-6.3399878,1.0
141,489.66,-12.659988,1.0
142,483.34,-11.169988,1.0
143,484.83,-13.719988,1.0
144,482.28,-21.399988,1.0
145,474.6,-20.739988,1.0
146,475.26,-16.639988,1.0
147,479.36,-16.249989,1.0
