,Prices_15_1,Strategy_Returns_15_1,F_t_15_1
0,458.6,-0.04,0.0
1,436.39,3.8600001,1.0
2,440.29,10.78,1.0
3,447.21,11.21,1.0
4,447.64,21.33,1.0
5,457.76,12.95,1.0
6,449.38,1.33,1.0
7,437.76,-0.029999949,1.0
8,436.4,-2.95,1.0
9,433.48,-7.47,1.0
10,428.96,2.3899996,1.0
11,438.82,3.7399998,1.0
12,440.17,13.03,1.0
13,449.46,18.0,1.0
14,454.43,2.4599996,1.0
15,438.89,5.0299993,1.0
16,441.46,4.2399993,1.0
17,440.67,7.5399995,1.0
18,443.97,10.82,1.0
19,447.25,11.629999,1.0
20,448.06,12.469999,1.0
21,448.9,9.829999,1.0
22,446.26,9.749999,1.0
23,446.18,49.29,1.0
24,485.72,55.34,1.0
25,491.77,88.15,1.0
26,524.58,83.79,1.0
27,520.22,88.71,1.0
28,525.14,135.16,1.0
29,571.59,146.99,1.0
30,583.42,134.81,1.0
31,571.24,140.63,1.0
32,577.06,131.75,1.0
33,568.18,178.90001,1.0
34,615.33,187.25,1.0
35,623.68,193.8,1.0
36,630.23,224.19,1.0
37,660.62,231.17,1.0
38,667.6,205.18001,1.0
39,641.61,222.83,1.0
40,659.26,217.27,1.0
41,653.7,218.54001,1.0
42,654.97,219.71,1.0
43,656.14,212.73001,1.0
44,649.16,216.72,1.0
45,653.15,196.59001,1.0
46,633.02,150.52,1.0
47,586.95,163.73001,1.0
48,600.16,140.93001,1.0
49,577.36,156.51001,1.0
50,592.94,155.76001,1.0
51,592.19,174.43001,1.0
52,610.86,171.53,1.0
53,607.96,161.64,1.0
54,598.07,157.72,1.0
55,594.15,158.56,1.0
56,594.99,165.84001,1.0
57,602.27,157.55,1.0
58,593.98,145.93001,1.0
59,582.36,129.91,1.0
60,566.34,144.71,1.0
61,581.14,160.83,1.0
62,597.26,160.12001,1.0
63,596.55,166.29001,1.0
64,602.72,203.37001,1.0
65,639.8,204.38,1.0
66,640.81,214.45001,1.0
67,650.88,208.73001,1.0
68,645.16,194.26001,1.0
69,630.69,195.03001,1.0
70,631.46,199.38,1.0
71,635.81,187.66,1.0
72,624.09,188.39,1.0
73,624.82,188.08,1.0
74,624.51,180.33,1.0
75,616.76,195.57,1.0
76,632.0,197.28001,1.0
77,633.71,190.07,1.0
78,626.5,182.89,1.0
79,619.32,185.16,1.0
80,621.59,180.37001,1.0
81,616.8,186.66,1.0
82,623.09,192.35,1.0
83,628.78,192.09001,1.0
84,628.52,187.47,1.0
85,623.9,185.78001,1.0
86,622.21,185.12001,1.0
87,621.55,182.98001,1.0
88,619.41,165.3,1.0
89,601.73,164.66,1.0
90,601.09,159.38,1.0
91,595.81,157.42001,1.0
92,593.85,149.26001,1.0
93,585.69,148.29001,1.0
94,584.72,130.86,1.0
95,567.29,149.8,1.0
96,586.23,158.49,1.0
97,594.92,152.90001,1.0
98,589.33,150.24,1.0
99,586.67,152.35,1.0
100,588.78,149.01001,1.0
101,585.44,148.22,1.0
102,584.65,152.44,1.0
103,588.87,156.15001,1.0
104,592.58,152.94,1.0
105,589.37,154.63,1.0
106,591.06,139.94,1.0
107,576.37,133.21,1.0
108,569.64,110.23,1.0
109,546.66,69.54001,1.0
110,505.97,60.58001,1.0
111,497.01,83.28001,1.0
112,519.71,55.37001,1.0
113,491.8,25.030008,1.0
114,461.46,48.81001,1.0
115,485.24,75.55001,1.0
116,511.98,80.81001,1.0
117,517.24,77.61001,1.0
118,514.04,61.65001,1.0
119,498.08,71.86001,1.0
120,508.29,66.07001,1.0
121,502.5,75.14001,1.0
122,511.57,74.72001,1.0
123,511.15,71.39001,1.0
124,507.82,72.09001,1.0
125,508.52,67.82001,1.0
126,504.25,41.33001,1.0
127,477.76,38.45001,1.0
128,474.88,41.000008,1.0
129,477.43,41.160007,1.0
130,477.59,53.230007,1.0
131,489.66,46.910007,1.0
132,483.34,48.40001,1.0
133,484.83,45.85001,1.0
134,482.28,38.17001,1.0
135,474.6,38.83001,1.0
136,475.26,42.930008,1.0
137,479.36,43.320007,1.0
138,479.75,41.320007,1.0
139,477.75,42.570007,1.0
140,479.0,41.46001,1.0
141,477.89,38.94001,1.0
142,475.37,29.630009,1.0
143,466.06,20.90001,1.0
144,457.33,-11.98999,1.0
145,424.44,-41.62999,1.0
146,394.8,-27.52999,1.0
147,408.9,-37.60999,1.0
148,398.82,-34.27999,1.0
149,402.15,-0.63999003,1.0
150,435.79,-13.22999,1.0
151,423.2,-24.859991,1.0
152,411.57,-32.00999,1.0
153,404.42,-36.909992,1.0
154,399.52,-59.249992,1.0
155,377.18,-60.95999,1.0
156,375.47,-49.48999,1.0
157,386.94,-52.819992,1.0
